sym,name,sector,lunes,martes,miercoles,jueves,viernes
GOOG,Alphabet Inc. (Class C),Communication Services,37.72156501726122,38.00374606505771,37.864412997903564,37.914712153518124,37.82419978517723
MO,Altria,Consumer Staples,19.94775941230487,20.08410579345088,20.0115855704698,20.04777113578138,20.03368556701031
AMZN,Amazon,Consumer Discretionary,34.405261707988984,34.69969773299748,34.49510906040268,34.630896669513234,34.30646907216495
AMCR,Amcor,Materials,8.532574257425741,8.572563176895306,8.563369565217391,8.553125,8.548724584103512
AMD,AMD,Information Technology,22.108714416896234,22.368916876574307,22.28436241610738,22.292442356959864,22.124398625429553
AEE,Ameren,Utilities,34.59935720844811,34.79064651553317,34.676895973154366,34.72922288642186,34.72816151202749
AAL,American Airlines Group,Industrials,24.269889840881273,24.358415178571427,24.39799331103679,24.379091940976163,24.443257142857142
AEP,American Electric Power,Utilities,37.50435261707989,37.71534005037783,37.57054530201342,37.64602903501281,37.62893470790378
AXP,American Express,Financials,61.4740404040404,61.89474391267842,61.63520134228188,61.7432365499573,61.7778264604811
AIG,American International Group,Financials,340.852883379247,339.75251889168766,341.45482382550335,341.78664389410756,342.45206185567014
AMT,American Tower,Real Estate,78.75331496786042,79.37249370277078,78.9660654362416,79.2807856532878,79.08614261168385
AWK,American Water Works,Utilities,66.7061406025825,67.15583006535948,66.85454188481675,67.10353333333333,67.04891129032258
AMP,Ameriprise Financial,Financials,96.20843711843713,97.3519397993311,96.77247216035634,96.81440543601359,96.88599771949829
ABC,AmerisourceBergen,Health Care,47.85668503213958,48.344794290512176,48.11859060402685,48.13938514090521,48.071984536082475
AME,Ametek,Industrials,40.169283746556474,40.537439126784214,40.312130872483216,40.38932536293766,40.329493127147764
AMGN,Amgen,Health Care,95.12159779614325,95.81056255247691,95.45194630872483,95.51427839453459,95.47146048109965
APH,Amphenol,Information Technology,21.634710743801655,21.825827036104116,21.72178691275168,21.76388556789069,21.73828178694158
ADI,Analog Devices,Information Technology,52.37474747474747,52.86703610411419,52.662407718120804,52.76368061485909,52.64316151202749
