sym,name,years_in,sector,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFL,Aflac,24,Financials,8.421190476190477,9.217056451612903,9.459007936507938,10.651190476190475,12.962063492063493,14.135515873015873,15.321155378486056,18.066972111553785,19.768814229249013,12.240119047619048,18.482103174603175,17.516428571428573,17.8228,22.90206349206349,24.84496031746032,25.61876984126984,28.86253968253968,33.988764940239044,39.94665338645419,46.849444444444444,37.060553359683794,51.12900793650794,60.73187250996016,71.81
A,Agilent Technologies,23,Health Care,42.612698412698414,20.42959677419355,14.023928571428572,12.37,16.427063492063493,16.537261904761905,20.861752988047808,23.282390438247013,19.55699604743083,14.185079365079364,21.095515873015874,26.843650793650795,26.021639999999998,30.781944444444445,37.7193253968254,37.13579365079365,41.121071428571426,56.837171314741035,64.90215139442232,73.33511904761905,91.02059288537549,143.2638492063492,132.41446215139442,154.01399999999998
APD,Air Products and Chemicals,38,Materials,18.035674603174602,23.543306451612903,26.43075396825397,25.719682539682537,30.771190476190476,35.73833333333333,40.55294820717132,53.2008764940239,53.29229249011858,44.7425,52.07238095238095,60.31480158730159,60.00368,71.80900793650794,95.16305555555556,109.88230158730158,113.8631746031746,128.98944223107569,145.97681274900398,191.79619047619047,242.08529644268776,273.34416666666664,253.56657370517928,309.836
AKAM,Akamai,16,Information Technology,114.2577380952381,9.826370967741935,2.235079365079365,4.69718253968254,14.136666666666667,14.369444444444444,36.843784860557776,43.12848605577689,26.132371541501975,19.874087301587302,40.54988095238095,31.93297619047619,35.200720000000004,43.61642857142857,57.84654761904762,68.47218253968255,55.177063492063496,55.37462151394423,71.22609561752988,79.99845238095239,102.30766798418972,109.82873015873015,98.50832669322709,87.3885
ALK,Alaska Air Group,7,Industrials,6.295396825396826,6.30891129032258,5.774166666666666,5.166428571428572,5.61781746031746,6.9962301587301585,8.313386454183266,6.828804780876494,4.820237154150197,5.31015873015873,10.383134920634921,14.197896825396825,16.42044,27.225873015873017,42.86087301587302,65.62619047619047,66.96210317460317,79.18681274900398,62.050438247011954,62.31503968253968,42.241778656126485,59.80373015873016,47.78501992031873,48.4905
ALB,Albemarle Corporation,7,Materials,7.321666666666666,7.886854838709677,10.310674603174602,10.094285714285714,12.210515873015874,14.121150793650795,20.311633466135458,32.839601593625495,27.6196837944664,23.261190476190475,36.81305555555555,48.144801587301586,50.91908,55.45920634920635,56.5852380952381,48.10452380952381,67.87944444444445,107.08912350597609,93.25768924302788,69.25515873015873,86.05920948616601,193.9063888888889,237.7710358565737,246.21149999999997
ARE,Alexandria Real Estate Equities,6,Real Estate,15.25309523809524,18.494919354838707,21.562619047619048,24.453055555555554,34.13654761904762,42.73420634920635,54.784780876494025,60.98721115537849,57.00225296442687,31.202698412698414,46.16305555555556,50.852420634920634,51.12388,50.19047619047619,58.92845238095238,73.33460317460317,80.9734126984127,100.69788844621513,108.41466135458168,130.83115079365078,148.1488932806324,178.33075396825396,160.53382470119521,152.1985
ALGN,Align Technology,6,Health Care,,7.18593886462882,3.4502380952380953,10.477261904761905,16.51988095238095,7.31904761904762,9.091792828685259,20.802828685258966,10.948616600790514,11.911825396825398,17.600357142857142,21.118928571428572,30.0888,40.84813492063492,53.820238095238096,59.993968253968255,81.4552380952381,158.97418326693227,294.49426294820717,249.3870634920635,305.7196837944664,617.520753968254,311.99617529880476,242.14299999999997
ALLE,Allegion,10,Industrials,,,,,,,,,,,,,,40.00366666666666,47.57857142857143,56.30992063492064,61.51920634920635,73.54418326693227,79.10725099601594,96.81757936507935,103.42604743083004,127.75988095238095,106.46346613545818,111.697
LNT,Alliant Energy,7,Utilities,5.682460317460317,6.308064516129033,5.23186507936508,4.833809523809523,6.554563492063492,7.33452380952381,9.460796812749003,11.438764940239045,9.965494071146246,8.074087301587301,11.133333333333333,13.466150793650792,15.61468,18.43781746031746,21.962619047619047,24.08238095238095,30.033690476190475,34.58681274900399,36.45270916334661,44.248849206349206,48.30529644268775,53.01472222222222,57.09470119521912,54.258500000000005
ALL,Allstate,28,Financials,16.290238095238095,22.234153225806452,22.264444444444447,22.73404761904762,29.542142857142856,35.9425,37.93019920318725,39.41346613545817,29.962094861660077,18.926309523809525,23.0975,22.26373015873016,28.24024,40.33380952380953,49.35349206349206,55.75043650793651,58.09531746031746,77.59490039840637,84.76414342629482,91.80952380952381,92.7098418972332,116.93333333333334,125.2519920318725,132.305
GOOGL,Alphabet Inc. (Class A),9,Communication Services,,,,,3.798510638297872,6.951031746031746,10.289442231075698,13.482470119521912,11.63296442687747,11.003571428571428,13.403769841269842,14.238531746031747,16.08656,22.128174603174603,28.40595238095238,30.999444444444443,38.160357142857144,46.98828685258964,56.10215139442231,59.56079365079365,73.9495256916996,124.22511904761905,114.7601593625498,93.0405
GOOG,Alphabet Inc. (Class C),17,Communication Services,,,,,3.780744680851064,6.917936507936508,10.241354581673306,13.418047808764939,11.577628458498022,10.95095238095238,13.340476190476192,14.170992063492063,16.01028,22.023214285714285,27.99047619047619,30.100119047619046,37.174325396825395,46.089003984063744,55.661035856573704,59.419642857142854,74.0703162055336,125.53083333333333,115.19374501992033,94.01599999999999
MO,Altria,66,Consumer Staples,1.7874603174603174,3.224274193548387,3.411388888888889,3.151150793650794,4.200119047619048,5.7655158730158735,6.78402390438247,8.486254980079682,8.519130434782609,7.765436507936508,10.585119047619047,13.514126984126984,17.39716,20.1365873015873,25.15361111111111,33.56880952380953,41.381547619047616,46.80617529880478,42.07167330677291,36.36654761904762,33.07308300395257,40.80373015873016,44.63135458167331,44.194
AMZN,Amazon,18,Consumer Discretionary,2.3267063492063493,0.6100806451612903,0.8245238095238095,1.8870238095238097,2.1784126984126986,1.9952777777777777,1.795418326693227,3.361195219123506,3.4939525691699607,4.3643253968253966,6.957103174603175,9.833611111111113,11.01492,14.901666666666666,16.627698412698415,23.906904761904762,34.97611111111111,48.40828685258964,82.08621513944223,89.45948412698414,134.04233201581027,167.1934126984127,126.09884462151395,94.2235
AMCR,Amcor,4,Materials,,,,,,,,,,,,,5.306455696202532,6.660793650793651,6.891309523809523,7.338928571428572,8.194246031746033,9.09820717131474,8.444701195219123,8.896230158730159,9.220355731225297,10.970277777777778,11.615537848605578,11.855
